CASE_ID,ACCIDENT_YEAR,PROC_DATE,COLLISION_DATE,COLLISION_TIME,DAY_OF_WEEK,PRIMARY_RD,SECONDARY_RD,STATE_ROUTE,LATITUDE,LONGITUDE,COUNTY,CITY
9629781,2023,2023-11-07,2023-09-08,1925,5,MARIN,LOS ANGELES,,37.8902587890625,-122.27218627929688,ALAMEDA,BERKELEY
9629798,2023,2023-10-27,2023-09-20,1212,3,GILMAN,NORTHSIDE AV,,37.880901336669922,-122.28856658935547,ALAMEDA,BERKELEY
9629812,2023,2023-10-27,2023-09-27,2205,3,KITTREDGE,SHATTUCK,,37.868488311767578,-122.26786804199219,ALAMEDA,BERKELEY
9629814,2023,2023-10-27,2023-09-27,1120,3,MARTIN LUTHER KING JR,STUART,,37.857379913330078,-122.27168273925781,ALAMEDA,BERKELEY
9629815,2023,2023-10-27,2023-09-24,1556,7,MARIN,THE CIRCLE,,37.890048980712891,-122.27249145507812,ALAMEDA,BERKELEY
9630278,2023,2023-10-31,2023-06-17,1039,6,MISSION BL,WEBSTER ST,,37.640029907226562,-122.05812835693359,ALAMEDA,HAYWARD
9630462,2023,2023-10-27,2023-09-28,2258,4,SAN LEANDRO BL,FRANKLIN LN,,37.730270385742188,-122.16835784912109,ALAMEDA,SAN LEANDRO
9630463,2023,2023-10-27,2023-09-03,0045,7,MARINA BL,NEPTUNE DR,,37.420700073242188,-122.11119842529297,ALAMEDA,SAN LEANDRO
9630601,2023,2023-10-31,2023-08-29,1640,2,WEST ST,20TH ST,,,,ALAMEDA,OAKLAND
9630603,2023,2023-10-30,2023-08-13,0039,7,7TH ST,ALICE ST,,,,ALAMEDA,OAKLAND
9630607,2023,2023-10-31,2023-08-22,1952,2,EASTLAWN ST,66TH AV,,,,ALAMEDA,OAKLAND
9630614,2023,2023-10-30,2023-08-15,0710,2,WHITMAN ST,JANE AV,,37.6510009765625,-122.07070159912109,ALAMEDA,HAYWARD
